Date,Closing Price
1970-01-02,1.4521
1970-01-05,1.4837
1970-01-06,1.4759
1970-01-07,1.4684
1970-01-08,1.4684
1970-01-09,1.4759
1970-01-12,1.4684
1970-01-13,1.4602
1970-01-14,1.4602
1970-01-15,1.4445
1970-01-16,1.4521
1970-01-19,1.4521
1970-01-20,1.4445
1970-01-21,1.4445
1970-01-22,1.4368
1970-01-23,1.4131
1970-01-26,1.4208
1970-01-27,1.4131
1970-01-28,1.3659
1970-01-29,1.3347
1970-01-30,1.3267
1970-02-02,1.3188
1970-02-03,1.3426
1970-02-04,1.3426
1970-02-05,1.3347
1970-02-06,1.3032
1970-02-09,1.2952
1970-02-10,1.2483
1970-02-11,1.2559
1970-02-12,1.2248
1970-02-13,1.2248
1970-02-16,1.1853
1970-02-17,1.1776
1970-02-18,1.2404
1970-02-19,1.2559
1970-02-20,1.2952
1970-02-24,1.2875
1970-02-25,1.3111
1970-02-26,1.272
1970-02-27,1.272
1970-03-02,1.2559
1970-03-03,1.2483
1970-03-04,1.2559
1970-03-05,1.272
1970-03-06,1.2559
1970-03-09,1.2404
1970-03-10,1.2641
1970-03-11,1.2875
1970-03-12,1.2795
1970-03-13,1.2795
1970-03-16,1.2795
1970-03-17,1.2795
1970-03-18,1.2952
1970-03-19,1.2952
1970-03-20,1.2952
1970-03-23,1.2952
1970-03-24,1.3188
1970-03-25,1.3426
1970-03-26,1.3504
1970-03-30,1.3582
1970-03-31,1.3426
1970-04-01,1.3504
1970-04-02,1.3504
1970-04-03,1.3582
1970-04-06,1.3504
1970-04-07,1.3188
1970-04-08,1.3188
1970-04-09,1.3267
1970-04-10,1.3188
1970-04-13,1.3111
1970-04-14,1.3111
1970-04-15,1.3188
1970-04-16,1.2952
1970-04-17,1.272
1970-04-20,1.2641
1970-04-21,1.272
1970-04-22,1.2795
1970-04-23,1.2795
1970-04-24,1.2795
1970-04-27,1.2641
1970-04-28,1.2559
1970-04-29,1.272
1970-04-30,1.2559
1970-05-01,1.272
1970-05-04,1.2641
1970-05-05,1.2641
1970-05-06,1.2795
1970-05-07,1.2559
1970-05-08,1.2483
1970-05-11,1.2404
1970-05-12,1.2325
1970-05-13,1.209
1970-05-14,1.2168
1970-05-15,1.2559
1970-05-18,1.272
1970-05-19,1.2404
1970-05-20,1.2404
1970-05-21,1.2325
1970-05-22,1.2325
1970-05-25,1.201
1970-05-26,1.209
1970-05-27,1.2483
1970-05-28,1.2952
1970-05-29,1.3347
1970-06-01,1.3347
1970-06-02,1.3347
1970-06-03,1.3347
1970-06-04,1.3032
1970-06-05,1.2795
1970-06-08,1.2795
1970-06-09,1.2795
1970-06-10,1.272
1970-06-11,1.272
1970-06-12,1.2795
1970-06-15,1.2795
1970-06-16,1.3111
1970-06-17,1.3111
1970-06-18,1.3267
1970-06-19,1.3504
1970-06-22,1.3426
1970-06-23,1.3267
1970-06-24,1.3111
1970-06-25,1.3188
1970-06-26,1.2952
1970-06-29,1.2875
1970-06-30,1.2875
1970-07-01,1.2795
1970-07-02,1.2875
1970-07-06,1.2559
1970-07-07,1.2559
1970-07-08,1.2795
1970-07-09,1.2875
1970-07-10,1.3188
1970-07-13,1.3267
1970-07-14,1.3188
1970-07-15,1.3347
1970-07-16,1.3818
1970-07-17,1.3976
1970-07-20,1.4052
1970-07-21,1.3976
1970-07-22,1.3739
1970-07-23,1.4052
1970-07-24,1.4052
1970-07-27,1.4131
1970-07-28,1.4052
1970-07-29,1.4131
1970-07-30,1.4368
1970-07-31,1.4521
1970-08-03,1.4288
1970-08-04,1.4208
1970-08-05,1.4521
1970-08-06,1.4521
1970-08-07,1.5073
1970-08-10,1.4684
1970-08-11,1.4602
1970-08-12,1.4684
1970-08-13,1.4445
1970-08-14,1.4602
1970-08-17,1.4684
1970-08-18,1.4994
1970-08-19,1.5466
1970-08-20,1.5309
1970-08-21,1.5622
1970-08-24,1.5699
1970-08-25,1.5622
1970-08-26,1.5545
1970-08-27,1.5466
1970-08-28,1.5545
1970-08-31,1.5466
1970-09-01,1.5309
1970-09-02,1.5153
1970-09-03,1.5384
1970-09-04,1.5699
1970-09-08,1.5384
1970-09-09,1.5309
1970-09-10,1.5309
1970-09-11,1.5231
1970-09-14,1.5231
1970-09-15,1.4994
1970-09-16,1.5153
1970-09-17,1.5384
1970-09-18,1.5231
1970-09-21,1.4916
1970-09-22,1.4837
1970-09-23,1.5309
1970-09-24,1.5466
1970-09-25,1.5466
